Ticker,Name,Sector,Industry,Beta,Forward_PE,Market_Cap,Target_Price
AAPL,Apple Inc.,Technology,Consumer Electronics,1.109,34.335735,4.23441E+12,281.74805
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,1.065,32.78662,3.64344E+12,625.4096
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1.082,35.333145,3.83452E+12,325.20755
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,1.368,38.194016,2.51106E+12,295.03168
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1.872,131.72377,1.41941E+12,392.9278
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1.272,25.570751,1.63063E+12,841.27
NVDA,NVIDIA Corporation,Technology,Semiconductors,2.269,43.953884,4.40139E+12,250.66142
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,1.913,42.174374,3.50174E+11,283.56512
INTC,Intel Corporation,Technology,Semiconductors,1.346,44.417522,2.05515E+11,37.26639
IBM,International Business Machines,Technology,Information Technology Services,0.688,28.704288,2.84676E+11,290.8889
ORCL,Oracle Corporation,Technology,Software - Infrastructure,1.636,28.10056,5.73579E+11,338.49307
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,0.869,19.623075,3.02377E+11,84.81476
SAP,SAP  SE,Technology,Software - Application,0.813,35.879257,2.8258E+11,339.83334
ADBE,Adobe Inc.,Technology,Software - Application,1.536,15.812654,1.37844E+11,450.02823
CRM,"Salesforce, Inc.",Technology,Software - Application,1.243,21.145554,2.24995E+11,327.8102
